iter	RMSE
0	0.7513057241
1	0.7073767529
2	0.6682781984
3	0.6341021041
4	0.6037592577
5	0.5762722641
6	0.5524840768
7	0.5316476867
8	0.5145893905
9	0.4977998484
10	0.4839636837
11	0.4701656409
12	0.4588048346
13	0.4489638978
14	0.4405548756
15	0.4322933985
16	0.4247715137
17	0.4176738512
18	0.411635732
19	0.4066982578
20	0.4008867256
21	0.3962332573
22	0.3920802835
23	0.3885346455
24	0.3843875879
25	0.3808890757
26	0.3772084794
27	0.3738856749
28	0.3714205714
29	0.3689359947
30	0.3660773175
31	0.3638386532
32	0.3609735766
33	0.3584539097
34	0.3564980943
35	0.354590835
36	0.3528867102
37	0.3509244526
38	0.3492152871
39	0.3473887046
40	0.3456222939
41	0.3444465112
42	0.3422210757
43	0.3393044924
44	0.3383272835
45	0.3370535615
46	0.3359834705
47	0.3347282166
48	0.3336402453
49	0.3324061029
50	0.3310128169
51	0.3298590409
52	0.3284897143
53	0.3272414937
54	0.3259349631
55	0.3251248299
56	0.3236718538
57	0.3226245253
58	0.3215918728
59	0.3209349842
60	0.3200823521
61	0.318161668
62	0.3159898215
63	0.3148869664
64	0.3140412999
65	0.3134474868
66	0.3125538693
67	0.3120149818
68	0.3106998784
69	0.3098134309
70	0.3081457305
71	0.3075216786
72	0.3066698039
73	0.3052327428
74	0.30462809
75	0.3039881111
76	0.3033323822
77	0.3023107312
78	0.30106298
79	0.2999866805
80	0.2992731437
81	0.2986708542
82	0.29806311
83	0.2974313474
84	0.2964907327
85	0.2959697707
86	0.2949889224
87	0.2946582305
88	0.2933060374
89	0.2924497611
90	0.2917755211
91	0.2913488783
92	0.2902896151
93	0.2898251772
94	0.2894282125
95	0.2890907373
96	0.2874330125
97	0.2866058386
98	0.2861088523
99	0.2847278086
100	0.2836928164
101	0.2825434807
102	0.2822672553
103	0.2819203929
104	0.2813533425
105	0.2804138965
106	0.2799574569
107	0.2795475761
108	0.279284242
109	0.2783862632
110	0.2775026186
111	0.277012167
112	0.2759690789
113	0.2756096761
114	0.275381607
115	0.2751216561
116	0.274759617
117	0.2743545154
118	0.2739702877
119	0.2732232658
120	0.272602664
121	0.2718262945
122	0.2713131529
123	0.2710116367
124	0.270266786
125	0.2700351489
126	0.2692230484
127	0.2689942565
128	0.2681456805
129	0.2677421496
130	0.2672130699
131	0.2668411223
132	0.266251085
133	0.2659964991
134	0.2657661047
135	0.2655668146
136	0.2649346909
137	0.2645907937
138	0.2639032143
139	0.2633861229
140	0.2626098817
141	0.2623630814
142	0.2619299909
143	0.261533273
144	0.2613662821
145	0.2609348167
146	0.260525025
147	0.2601230573
148	0.2595991539
149	0.2592869814
150	0.2589973867
151	0.2588072995
152	0.2582638111
153	0.2579135902
154	0.2577086383
155	0.2574107892
156	0.2572320471
157	0.2569108592
158	0.2565982215
159	0.2562919002
160	0.255850834
161	0.255497424
162	0.2552801958
163	0.254930057
164	0.2546111377
165	0.2542176825
166	0.2538872879
167	0.2535274296
168	0.2533383634
169	0.2531157742
170	0.2528736906
171	0.2527747247
172	0.2525061614
173	0.2523712024
174	0.2520386478
175	0.2518116406
176	0.2516217612
177	0.2511371498
178	0.2509824396
179	0.2508263772
180	0.2506378082
181	0.2503963502
182	0.2502545134
183	0.250019653
184	0.2496738456
185	0.2494338616
186	0.249360844
187	0.2492171357
188	0.2490456739
189	0.2488329385
190	0.2484899792
191	0.2479193049
192	0.2476702937
193	0.2474170608
194	0.24727693
195	0.2469964939
196	0.2468564509
197	0.2467321514
198	0.2465700291
199	0.246335004
200	0.2461883717
201	0.2460577481
202	0.2458312502
203	0.24547085
204	0.2453093042
205	0.2451761934
206	0.2448086971
207	0.2446294069
208	0.2445080812
209	0.2443057797
210	0.2441506298
211	0.2440286682
212	0.2439034801
213	0.2437745373
214	0.2436494233
215	0.2433139776
216	0.2432015377
217	0.2430346678
218	0.2428071498
219	0.2426902045
220	0.2424604727
221	0.2422492011
222	0.2420488423
223	0.2417968748
224	0.2416510128
225	0.2414237169
226	0.2412491059
227	0.2411175633
228	0.2409883014
229	0.2407753053
230	0.2406241721
231	0.2405275819
232	0.2403495779
233	0.240175907
234	0.2401098409
235	0.2399736718
236	0.2398340882
237	0.2395751751
238	0.2394399691
239	0.239220489
240	0.2390693478
241	0.2388990614
242	0.2388160473
243	0.2387239859
244	0.2386075533
245	0.2384621845
246	0.2381550852
247	0.2380741037
248	0.2379435318
249	0.2377253889
250	0.2375635697
251	0.2374449756
252	0.2373509354
253	0.2372254935
254	0.2370174857
255	0.236950814
256	0.2367795491
257	0.2366500641
258	0.2365032638
259	0.2364202581
260	0.236295445
261	0.2361070962
262	0.2359546544
263	0.2357627304
264	0.2357128683
265	0.2355905815
266	0.2354646827
267	0.2353432153
268	0.2352303615
269	0.2350714213
270	0.2349818422
271	0.2348158754
272	0.2347016778
273	0.2346332957
274	0.2344097159
275	0.2342309057
276	0.2341032607
277	0.2340178753
278	0.2338955206
279	0.2337880095
280	0.2336865632
281	0.2335290705
282	0.2334406764
283	0.2331932284
284	0.2331048677
285	0.2330212595
286	0.2329745805
287	0.232904666
288	0.2328103869
289	0.2327060318
290	0.2326076292
291	0.2325022384
292	0.2324226672
293	0.2322950384
294	0.232249133
295	0.2321891937
296	0.2321110142
297	0.2319743316
298	0.2319045638
299	0.2317850789
300	0.2316385202
301	0.2315608326
302	0.2314382183
303	0.2313594537
304	0.2312558907
305	0.2311439183
306	0.2310269034
307	0.2309535146
308	0.2308835233
309	0.2307480921
310	0.2306580027
311	0.2305946397
312	0.2305295363
313	0.2304853115
314	0.2303931972
315	0.2303415444
316	0.2301847486
317	0.2301071896
318	0.2300245138
319	0.229904557
320	0.2297717636
321	0.229681322
322	0.2295193291
323	0.2294025205
324	0.2293338649
325	0.2291945383
326	0.2290701501
327	0.2290011261
328	0.2289456988
329	0.2288795453
330	0.2287212534
331	0.2286252071
332	0.2285419424
333	0.2284584975
334	0.2283974377
335	0.2283081885
336	0.2281810806
337	0.2281055667
338	0.22800486
339	0.2279351722
340	0.2278114906
341	0.2277893575
342	0.2276844763
343	0.2275465846
344	0.2274624627
345	0.2273641992
346	0.2272920867
347	0.2272138765
348	0.2271017084
349	0.2270377363
350	0.2269831553
351	0.2269236364
352	0.226847077
353	0.2267208532
354	0.2266112066
355	0.2264722442
356	0.2264532488
357	0.2263879294
358	0.2263005792
359	0.2262526242
360	0.2261775544
361	0.2260782458
362	0.2259831163
