iter	Passed	Remaining
0	172	86123
1	200	49983
2	221	36771
3	238	29520
4	251	24943
5	266	21909
6	280	19761
7	295	18143
8	309	16910
9	324	15923
10	340	15127
11	355	14473
12	370	13877
13	385	13375
14	400	12934
15	415	12565
16	434	12333
17	451	12081
18	467	11829
19	483	11608
20	500	11415
21	519	11277
22	538	11160
23	556	11037
24	577	10974
25	594	10839
26	613	10742
27	634	10697
28	649	10551
29	664	10410
30	678	10272
31	694	10149
32	708	10020
33	720	9868
34	732	9732
35	745	9604
36	757	9482
37	769	9354
38	782	9251
39	795	9151
40	808	9053
41	819	8941
42	832	8848
43	847	8783
44	858	8683
45	870	8595
46	883	8515
47	895	8437
48	907	8352
49	920	8285
50	933	8216
51	945	8147
52	958	8081
53	970	8011
54	983	7955
55	995	7893
56	1008	7836
57	1020	7777
58	1032	7717
59	1045	7667
60	1057	7609
61	1070	7566
62	1083	7513
63	1095	7460
64	1107	7412
65	1119	7361
66	1131	7313
67	1143	7262
68	1155	7220
69	1169	7181
70	1182	7147
71	1194	7103
72	1206	7057
73	1219	7019
74	1231	6980
75	1243	6935
76	1255	6896
77	1268	6863
78	1281	6831
79	1295	6802
80	1308	6768
81	1321	6735
82	1334	6702
83	1346	6667
84	1359	6636
85	1371	6601
86	1384	6572
87	1396	6537
88	1408	6506
89	1422	6478
90	1434	6448
91	1446	6416
92	1460	6393
93	1472	6361
94	1485	6331
95	1497	6300
96	1510	6276
97	1523	6248
98	1536	6223
99	1551	6205
100	1565	6184
101	1579	6163
102	1591	6133
103	1603	6104
104	1615	6078
105	1629	6057
106	1642	6032
107	1654	6006
108	1666	5977
109	1680	5958
110	1693	5935
111	1706	5911
112	1720	5892
113	1733	5869
114	1745	5843
115	1757	5819
116	1771	5797
117	1783	5773
118	1796	5750
119	1809	5729
120	1822	5708
121	1835	5687
122	1849	5667
123	1861	5644
124	1874	5624
125	1886	5600
126	1900	5582
127	1912	5557
128	1925	5538
129	1938	5517
130	1952	5498
131	1964	5476
132	1976	5454
133	1988	5431
134	2000	5409
135	2012	5385
136	2024	5364
137	2037	5344
138	2051	5326
139	2064	5308
140	2078	5291
141	2091	5273
142	2103	5252
143	2116	5232
144	2127	5208
145	2140	5191
146	2153	5171
147	2166	5152
148	2180	5136
149	2193	5117
150	2205	5097
151	2217	5076
152	2230	5058
153	2242	5038
154	2254	5018
155	2266	4998
156	2279	4979
157	2291	4959
158	2304	4942
159	2317	4923
160	2330	4906
161	2344	4890
162	2356	4871
163	2369	4854
164	2382	4837
165	2395	4819
166	2410	4805
167	2423	4788
168	2436	4771
169	2448	4753
170	2461	4736
171	2474	4719
172	2487	4701
173	2504	4691
174	2516	4673
175	2529	4655
176	2541	4638
177	2555	4622
178	2566	4602
179	2579	4586
180	2592	4568
181	2605	4551
182	2617	4533
183	2629	4516
184	2643	4500
185	2655	4482
186	2667	4464
187	2679	4446
188	2692	4430
189	2704	4412
190	2717	4395
191	2730	4380
192	2742	4363
193	2755	4346
194	2767	4329
195	2780	4313
196	2792	4295
197	2804	4278
198	2817	4261
199	2829	4244
200	2841	4227
201	2854	4211
202	2867	4194
203	2880	4179
204	2893	4163
205	2905	4147
206	2918	4130
207	2931	4115
208	2943	4098
209	2956	4083
210	2969	4067
211	2981	4050
212	2993	4033
213	3005	4016
214	3017	3999
215	3030	3984
216	3042	3968
217	3055	3952
218	3067	3936
219	3081	3921
220	3095	3907
221	3107	3891
222	3119	3875
223	3133	3860
224	3145	3844
225	3158	3829
226	3171	3814
227	3184	3798
228	3195	3782
229	3209	3767
230	3222	3752
231	3234	3736
232	3247	3720
233	3259	3704
234	3270	3688
235	3283	3673
236	3297	3658
237	3310	3644
238	3322	3628
239	3338	3616
240	3350	3601
241	3363	3586
242	3375	3569
243	3387	3554
244	3399	3538
245	3412	3523
246	3425	3509
247	3437	3493
248	3450	3478
249	3467	3467
250	3480	3452
251	3492	3437
252	3504	3421
253	3517	3406
254	3531	3392
255	3543	3377
256	3555	3362
257	3568	3347
258	3581	3332
259	3593	3317
260	3606	3302
261	3619	3288
262	3632	3273
263	3647	3260
264	3658	3244
265	3670	3229
266	3683	3214
