iter	RMSE
0	0.7753193277
1	0.7515520043
2	0.72952539
3	0.7090567057
4	0.6897952206
5	0.670789733
6	0.6532795032
7	0.6367288133
8	0.620971126
9	0.6068594049
10	0.5934256247
11	0.5800961691
12	0.5681638387
13	0.556545391
14	0.5457096602
15	0.5357789947
16	0.5261710529
17	0.5167128411
18	0.5086380598
19	0.5007410145
20	0.4929295647
21	0.4857855699
22	0.4794818457
23	0.472593889
24	0.4663713051
25	0.460918212
26	0.456188095
27	0.4514049036
28	0.4469861008
29	0.442166958
30	0.4381246181
31	0.4338677754
32	0.4301380421
33	0.4263045691
34	0.4223911349
35	0.4190957833
36	0.4158835464
37	0.4128497185
38	0.409537782
39	0.4063005404
40	0.4037599446
41	0.4012705098
42	0.3986395655
43	0.3964965701
44	0.3940640324
45	0.3919694244
46	0.3896266564
47	0.3875517305
48	0.3857606722
49	0.3837813742
50	0.3819438878
51	0.3803770849
52	0.3788527031
53	0.3771709098
54	0.375814812
55	0.3744502822
56	0.3728678361
57	0.3710074212
58	0.36955334
59	0.3678601711
60	0.3667259307
61	0.365613101
62	0.3638706818
63	0.3625362529
64	0.3615030974
65	0.3600316232
66	0.3588275495
67	0.3577410988
68	0.3565355376
69	0.355640848
70	0.3545685701
71	0.3537313582
72	0.3527509855
73	0.351769649
74	0.3504141279
75	0.3495865689
76	0.3485982688
77	0.3477431959
78	0.3470446235
79	0.3458995923
80	0.3450612757
81	0.3443021715
82	0.3432505858
83	0.3420293476
84	0.341183691
85	0.3405365723
86	0.3390968318
87	0.3385258568
88	0.3376508375
89	0.3368149051
90	0.3359295504
91	0.3349457133
92	0.3341134532
93	0.3329744378
94	0.3320839239
95	0.331605359
96	0.3309674988
97	0.3303709689
98	0.3295011048
99	0.3287380663
100	0.3281001036
101	0.3270501274
102	0.3266376575
103	0.3260816699
104	0.3253398896
105	0.3245736239
106	0.3240904982
107	0.3233993973
108	0.3229286267
109	0.3222199263
110	0.3218362097
111	0.3207233976
112	0.3203407128
113	0.3195015917
114	0.3190648229
115	0.3184227602
116	0.318016569
117	0.31751025
118	0.3170254373
119	0.3165103324
120	0.3157432151
121	0.3148846129
122	0.3138502825
123	0.3132843251
124	0.3128812613
125	0.3123918075
126	0.3118780643
127	0.3114991997
128	0.3111346923
129	0.3108111143
130	0.3099861585
131	0.3097177949
132	0.3094338305
133	0.3090838328
134	0.3084255132
135	0.3081489088
136	0.3073328739
137	0.3069899755
138	0.3067129224
139	0.3063371644
140	0.3059116397
141	0.3054416607
142	0.3051286264
143	0.3047040059
144	0.3042373466
145	0.3039987718
146	0.3037245174
147	0.3028059056
148	0.3023851782
149	0.3021561991
150	0.3015494666
151	0.3010574022
152	0.3008605042
153	0.299752533
154	0.2992923638
155	0.2989746403
156	0.2987003437
157	0.2979005771
158	0.2976020467
159	0.2972370572
160	0.2968666442
161	0.2961641164
162	0.2958153446
163	0.2955578838
164	0.2949283062
165	0.2943000931
166	0.2938412336
167	0.2934568111
168	0.293198794
169	0.2929381506
170	0.2927501414
171	0.2924458355
172	0.2922159673
173	0.2919140612
174	0.291511066
175	0.2907000715
176	0.2904121125
177	0.2900504321
178	0.2898158575
179	0.2895072611
180	0.2888836735
181	0.288596544
182	0.2884552183
183	0.2882716877
184	0.2879037826
185	0.2876789662
186	0.2873278112
187	0.2870760986
188	0.2867328219
189	0.2865718803
190	0.2859448668
191	0.2857293666
192	0.2850486362
193	0.2848327589
194	0.2846045362
195	0.2844047337
196	0.2840163138
197	0.2834684495
198	0.2832282096
199	0.283048048
200	0.2827831219
201	0.2824402506
202	0.2822216601
203	0.2820881041
204	0.2817798355
205	0.2815229468
206	0.2812954972
207	0.2809028058
208	0.2805702939
209	0.2800225641
210	0.2796395635
211	0.2794510767
212	0.2793232501
213	0.2790986016
214	0.2788269312
215	0.2783576312
216	0.2782124565
217	0.2780188459
218	0.2778981829
219	0.2777630623
220	0.2775510626
221	0.2774048001
222	0.2772153417
223	0.276948958
224	0.2766906309
225	0.2765295601
226	0.2762522772
227	0.276004398
228	0.2757821111
229	0.2755393632
230	0.2752759934
231	0.2749354379
232	0.2746215544
233	0.2743913096
234	0.2742715169
235	0.2740476009
236	0.2739376895
237	0.2734312571
238	0.2730109127
239	0.2726880252
240	0.2723307489
241	0.2721490852
242	0.2719410137
243	0.2714549135
244	0.2710819348
245	0.270922446
246	0.2706829686
247	0.2704782201
248	0.2702151376
249	0.269908301
250	0.2695041414
251	0.2693655959
252	0.2692449034
253	0.2690685315
254	0.2688000225
255	0.2685918529
256	0.2684613109
257	0.2682373936
258	0.2679669531
259	0.2678405418
260	0.267605559
261	0.2673229004
262	0.2670463691
263	0.2666562655
264	0.26647713
265	0.2662391104
266	0.2661458444
267	0.265963431
268	0.2657071748
269	0.2654753444
270	0.2652504855
271	0.2650544067
272	0.2647255587
273	0.2645201618
274	0.264285798
275	0.2641217102
276	0.2639356501
277	0.2637343709
278	0.2635094216
279	0.2633525234
280	0.2631800304
281	0.262967807
282	0.2626912736
283	0.2624749854
284	0.2621890862
285	0.2620552035
286	0.2619199628
287	0.2618178673
288	0.2615685807
289	0.2613591801
290	0.2610971331
291	0.2609484813
292	0.2607387074
293	0.2605800745
294	0.2604481506
295	0.2602934551
296	0.2602310679
297	0.2600743217
298	0.2598956256
299	0.2596918498
