iter	Passed	Remaining
0	161	48341
1	178	26667
2	193	19182
3	206	15312
4	220	12989
5	234	11505
6	250	10473
7	265	9684
8	281	9110
9	297	8637
10	315	8280
11	330	7937
12	345	7617
13	359	7346
14	373	7105
15	387	6876
16	402	6704
17	418	6549
18	433	6403
19	447	6268
20	463	6154
21	478	6047
22	494	5949
23	510	5867
24	525	5780
25	540	5693
26	553	5598
27	568	5519
28	582	5441
29	597	5377
30	614	5332
31	629	5275
32	645	5220
33	660	5168
34	675	5116
35	690	5064
36	705	5015
37	721	4976
38	737	4937
39	753	4897
40	767	4845
41	781	4797
42	795	4755
43	810	4717
44	826	4681
45	840	4642
46	855	4607
47	870	4570
48	883	4527
49	896	4483
50	913	4458
51	926	4420
52	942	4390
53	957	4362
54	971	4328
55	985	4294
56	1001	4270
57	1016	4241
58	1031	4211
59	1045	4182
60	1059	4153
61	1073	4122
62	1089	4096
63	1103	4069
64	1117	4041
65	1133	4020
66	1149	3997
67	1162	3964
68	1175	3934
69	1190	3910
70	1210	3904
71	1224	3877
72	1239	3853
73	1253	3828
74	1268	3805
75	1282	3779
76	1298	3759
77	1310	3730
78	1323	3701
79	1339	3682
80	1354	3661
81	1368	3638
82	1383	3616
83	1397	3593
84	1410	3568
85	1423	3543
86	1441	3528
87	1454	3504
88	1467	3480
89	1481	3457
90	1495	3435
91	1509	3413
92	1523	3391
93	1538	3371
94	1554	3353
95	1567	3331
96	1582	3312
97	1597	3292
98	1611	3272
99	1627	3254
100	1642	3236
101	1658	3219
102	1671	3197
103	1684	3174
104	1699	3155
105	1713	3136
106	1727	3116
107	1741	3095
108	1754	3073
109	1769	3056
110	1782	3035
111	1799	3020
112	1812	3000
113	1828	2983
114	1841	2963
115	1854	2941
116	1868	2922
117	1883	2904
118	1897	2886
119	1911	2866
120	1926	2850
121	1942	2833
122	1958	2817
123	1974	2802
124	1990	2787
125	2006	2771
126	2023	2757
127	2037	2738
128	2052	2720
129	2067	2703
130	2084	2689
131	2100	2672
132	2116	2657
133	2134	2644
134	2150	2628
135	2165	2611
136	2181	2595
137	2195	2577
138	2209	2559
139	2223	2541
140	2239	2525
141	2254	2508
142	2269	2492
143	2283	2473
144	2298	2456
145	2311	2437
146	2325	2420
147	2341	2404
148	2357	2389
149	2371	2371
150	2392	2360
151	2406	2342
152	2419	2324
153	2435	2309
154	2451	2292
155	2463	2273
156	2477	2256
157	2492	2240
158	2506	2223
159	2521	2206
160	2538	2191
161	2554	2175
162	2570	2160
163	2584	2143
164	2600	2127
165	2616	2111
166	2630	2095
167	2643	2077
168	2659	2061
169	2673	2044
170	2687	2027
171	2702	2010
172	2717	1994
173	2732	1978
174	2747	1962
175	2761	1945
176	2773	1927
177	2790	1912
178	2804	1895
179	2819	1879
180	2836	1864
181	2852	1849
182	2866	1832
183	2880	1815
184	2894	1799
185	2908	1782
186	2922	1766
187	2937	1749
188	2951	1733
189	2967	1717
190	2983	1702
191	2998	1686
192	3015	1671
193	3029	1655
194	3044	1639
195	3061	1624
196	3078	1609
197	3096	1595
198	3112	1579
199	3126	1563
200	3141	1547
201	3154	1530
202	3167	1513
203	3180	1496
204	3196	1481
205	3212	1466
206	3228	1450
207	3243	1434
208	3257	1418
209	3271	1401
210	3285	1385
211	3299	1369
212	3315	1354
213	3330	1338
214	3346	1322
215	3362	1307
216	3377	1291
217	3391	1275
218	3406	1259
219	3418	1243
220	3435	1228
221	3449	1211
222	3464	1196
223	3479	1180
224	3493	1164
225	3508	1148
226	3523	1132
227	3538	1117
228	3554	1101
229	3569	1086
230	3583	1070
231	3598	1054
232	3614	1039
233	3630	1023
234	3644	1008
235	3660	992
236	3674	976
237	3690	961
238	3705	945
239	3720	930
240	3734	914
241	3749	898
242	3763	882
243	3779	867
244	3794	851
245	3808	835
246	3823	820
247	3840	805
248	3855	789
249	3870	774
250	3887	758
251	3902	743
252	3915	727
253	3928	711
254	3942	695
255	3958	680
256	3972	664
257	3987	649
258	4002	633
259	4017	618
260	4033	602
261	4048	587
262	4065	571
263	4081	556
264	4095	540
265	4109	525
266	4122	509
267	4143	494
268	4157	479
269	4174	463
270	4189	448
271	4208	433
272	4233	418
273	4253	403
274	4276	388
275	4299	373
276	4321	358
277	4344	343
278	4365	328
279	4390	313
280	4412	298
281	4437	283
282	4464	268
283	4488	252
284	4515	237
285	4534	221
286	4557	206
287	4578	190
288	4599	175
289	4621	159
290	4644	143
291	4663	127
292	4686	111
293	4709	96
294	4727	80
295	4749	64
296	4767	48
297	4793	32
298	4819	16
299	4847	0
